NaturezaElemento - Código;AnoExercício NaturezaElemento;Situação NaturezaElemento;NaturezaElemento - Formatado;CategoriaEconômica - Código;AnoExercício CategoriaEconômica;Situação CategoriaEconômica;CategoriaEconômica - Descrição;CategoriaEconômica - Detalhe;GrupoDespesa - Código;AnoExercício GrupoDespesa;Situação GrupoDespesa;GrupoDespesa - Descrição;GrupoDespesa - Código-Descrição;GrupoDespesa - Detalhe;Modalidade - Código;AnoExercício Modalidade;Situação Modalidade;Modalidade - Descrição;Modalidade - Detalhe;ElementoDespesa - Código;AnoExercício ElementoDespesa;Situação ElementoDespesa;ElementoDespesa - Descrição;ElementoDespesa - Código-Descrição;ElementoDespesa - Detalhe;ElementoDespesa - Característica;ElementoDespesa - Regionalização;ElementoDespesa Executável S/N;ElementoItem - Código;AnoExercício ElementoItem;Situação ElementoItem;ElementoItem - Descrição;ElementoItem - Código-Descrição;NaturezaItem - Código;AnoExercício NaturezaItem;Situação NaturezaItem;NaturezaItem - Formatado
3190091;2019;ATIVO;3.1.90.091;3;2019;ATIVO;DESPESAS CORRENTES;DESPESAS CORRENTES;1;2019;ATIVO;PESSOAL E ENCARGOS SOCIAIS;1 - PESSOAL E ENCARGOS SOCIAIS;DESLOQUEIO DA CATEGORIA ECONÔMICA;90;2019;ATIVO;APLICAÇÕES DIRETAS;N/A;91;2019;ATIVO;SENTENÇAS JUDICIAIS;091 - SENTENÇAS JUDICIAIS;ELEMENTO CRIADO PARA TESTAR O CENÁRIO DE TESTE ELABORADO PELA EQUIPE DE REQUISITOS.; ;NÃO;SIM;91003;2019;ATIVO;OUTRAS SENTENÇAS JUDICIAIS;091003 - OUTRAS SENTENÇAS JUDICIAIS;3190005001;#MULTIVALUE;#MULTIVALUE;3.1.90.005.001
3190091;2020;ATIVO;3.1.90.091;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;1;2020;ATIVO;PESSOAL E ENCARGOS SOCIAIS;1 - PESSOAL E ENCARGOS SOCIAIS;ADEQUAÇÃO DA REDAÇÃO. ;90;2020;ATIVO;APLICAÇÕES DIRETAS;N/A;91;2020;ATIVO;SENTENÇAS JUDICIAIS;091 - SENTENÇAS JUDICIAIS;ELEMENTO CRIADO PARA TESTAR O CENÁRIO DE TESTE ELABORADO PELA EQUIPE DE REQUISITOS.; ;NÃO;SIM;91002;2020;ATIVO;PRECATÓRIOS - PESSOAL;091002 - PRECATÓRIOS - PESSOAL;3190005005;#MULTIVALUE;#MULTIVALUE;3.1.90.005.005
3190091;2020;ATIVO;3.1.90.091;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;1;2020;ATIVO;PESSOAL E ENCARGOS SOCIAIS;1 - PESSOAL E ENCARGOS SOCIAIS;ADEQUAÇÃO DA REDAÇÃO. ;90;2020;ATIVO;APLICAÇÕES DIRETAS;N/A;91;2020;ATIVO;SENTENÇAS JUDICIAIS;091 - SENTENÇAS JUDICIAIS;ELEMENTO CRIADO PARA TESTAR O CENÁRIO DE TESTE ELABORADO PELA EQUIPE DE REQUISITOS.; ;NÃO;SIM;91003;2020;ATIVO;OUTRAS SENTENÇAS JUDICIAIS;091003 - OUTRAS SENTENÇAS JUDICIAIS;3190005009;#MULTIVALUE;#MULTIVALUE;3.1.90.005.009
3190093;2020;ATIVO;3.1.90.093;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;1;2020;ATIVO;PESSOAL E ENCARGOS SOCIAIS;1 - PESSOAL E ENCARGOS SOCIAIS;ADEQUAÇÃO DA REDAÇÃO. ;90;2020;ATIVO;APLICAÇÕES DIRETAS;N/A;93;2020;ATIVO;INDENIZAÇÕES E RESTITUIÇÕES;093 - INDENIZAÇÕES E RESTITUIÇÕES;CARGA; ;NÃO;SIM;93099;2020;ATIVO;OUTRAS INDENIZAÇÕES E RESTITUIÇÕES;093099 - OUTRAS INDENIZAÇÕES E RESTITUIÇÕES;3190005099;#MULTIVALUE;#MULTIVALUE;3.1.90.005.099
3191013;2020;ATIVO;3.1.91.013;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;1;2020;ATIVO;PESSOAL E ENCARGOS SOCIAIS;1 - PESSOAL E ENCARGOS SOCIAIS;ADEQUAÇÃO DA REDAÇÃO. ;91;2020;ATIVO;APLICAÇÃO DIRETA DECORRENTE DE OPERAÇÕES ENTRE ÓRGÃOS, FUNDOS E ENTIDADES INTEGRANTES DO ORÇAMENTO FISCAL;N/A;13;2020;ATIVO;OBRIGAÇÕES PATRONAIS;013 - OBRIGAÇÕES PATRONAIS;EMPENHO; ;NÃO;SIM;13006;2020;ATIVO;OBRIGAÇÃO PATRONAL - PESSOAL INATIVO - PREVIDÊNCIA;013006 - OBRIGAÇÃO PATRONAL - PESSOAL INATIVO - PREVIDÊNCIA;3190007001;#MULTIVALUE;ATIVO;3.1.90.007.001
3191013;2020;ATIVO;3.1.91.013;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;1;2020;ATIVO;PESSOAL E ENCARGOS SOCIAIS;1 - PESSOAL E ENCARGOS SOCIAIS;ADEQUAÇÃO DA REDAÇÃO. ;91;2020;ATIVO;APLICAÇÃO DIRETA DECORRENTE DE OPERAÇÕES ENTRE ÓRGÃOS, FUNDOS E ENTIDADES INTEGRANTES DO ORÇAMENTO FISCAL;N/A;13;2020;ATIVO;OBRIGAÇÕES PATRONAIS;013 - OBRIGAÇÕES PATRONAIS;EMPENHO; ;NÃO;SIM;13008;2020;ATIVO;OBRIGAÇÃO PATRONAL - PENSIONISTAS - PREVIDÊNCIA;013008 - OBRIGAÇÃO PATRONAL - PENSIONISTAS - PREVIDÊNCIA;3190007002;#MULTIVALUE;ATIVO;3.1.90.007.002
3340041;2020;ATIVO;3.3.40.041;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;3;2020;ATIVO;OUTRAS DESPESAS CORRENTES;3 - OUTRAS DESPESAS CORRENTES;"ADEQUAÇÃO DO PARAMETRO ""PERMITE REGIONALIZAÇÃO"".";40;2020;ATIVO;TRANSFERÊNCIAS A MUNICÍPIOS;N/A;41;2020;ATIVO;CONTRIBUIÇÕES;041 - CONTRIBUIÇÕES;CARGA; ;NÃO;SIM;41009;2020;ATIVO;"CONTRIBUIÇÕES - TRANSFERÊNCIA VOLUNTÁRIA POR INSTRUMENTO JURÍDICO
";"041009 - CONTRIBUIÇÕES - TRANSFERÊNCIA VOLUNTÁRIA POR INSTRUMENTO JURÍDICO
";3190008001;#MULTIVALUE;#MULTIVALUE;3.1.90.008.001
3340081;2020;ATIVO;3.3.40.081;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;3;2020;ATIVO;OUTRAS DESPESAS CORRENTES;3 - OUTRAS DESPESAS CORRENTES;"ADEQUAÇÃO DO PARAMETRO ""PERMITE REGIONALIZAÇÃO"".";40;2020;ATIVO;TRANSFERÊNCIAS A MUNICÍPIOS;N/A;81;2020;ATIVO;DISTRIBUIÇÃO CONSTITUCIONAL OU LEGAL DE RECEITAS;081 - DISTRIBUIÇÃO CONSTITUCIONAL OU LEGAL DE RECEITAS;CARGA; ;NÃO;SIM;81003;2020;ATIVO;COTA PARTE DO ICMS;081003 - COTA PARTE DO ICMS;3190008002;#MULTIVALUE;ATIVO;3.1.90.008.002
3341041;2020;ATIVO;3.3.41.041;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;3;2020;ATIVO;OUTRAS DESPESAS CORRENTES;3 - OUTRAS DESPESAS CORRENTES;"ADEQUAÇÃO DO PARAMETRO ""PERMITE REGIONALIZAÇÃO"".";41;2020;ATIVO;TRANSFERÊNCIA A MUNICÍPIOS - FUNDO A FUNDO;N/A;41;2020;ATIVO;CONTRIBUIÇÕES;041 - CONTRIBUIÇÕES;CARGA; ;NÃO;SIM;41009;2020;ATIVO;"CONTRIBUIÇÕES - TRANSFERÊNCIA VOLUNTÁRIA POR INSTRUMENTO JURÍDICO
";"041009 - CONTRIBUIÇÕES - TRANSFERÊNCIA VOLUNTÁRIA POR INSTRUMENTO JURÍDICO
";3190008003;#MULTIVALUE;ATIVO;3.1.90.008.003
3390014;#MULTIVALUE;ATIVO;3.3.90.014;3;#MULTIVALUE;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;3;#MULTIVALUE;ATIVO;OUTRAS DESPESAS CORRENTES;3 - OUTRAS DESPESAS CORRENTES;"ADEQUAÇÃO DO PARAMETRO ""PERMITE REGIONALIZAÇÃO"".";90;#MULTIVALUE;ATIVO;APLICAÇÕES DIRETAS;N/A;14;#MULTIVALUE;ATIVO;DIÁRIAS - CIVIL;014 - DIÁRIAS - CIVIL;EMPENHO; ;NÃO;SIM;14001;#MULTIVALUE;ATIVO;DIÁRIAS - CIVIL;014001 - DIÁRIAS - CIVIL;3190008004;#MULTIVALUE;ATIVO;3.1.90.008.004
